axis,id,title,author,base_raw,large_raw,difference,absolute_difference
ambiguity,cronicile-marțiene-ray-bradbury,Cronicile marțiene,Ray Bradbury,0.012158,-0.022366,-0.034524,0.034524
ambiguity,it-stephen-king,It,Stephen King,0.017265,-0.017031,-0.034296,0.034296
ambiguity,de-două-mii-de-ani-mihail-sebastian,De două mii de ani,Mihail Sebastian,0.026045,-0.00804,-0.034085,0.034085
ambiguity,sugestia-donato-carrisi,Sugestia,Donato Carrisi,0.020294,-0.012233,-0.032527,0.032527
ambiguity,parfumul-patrick-süskind,Parfumul,Patrick Süskind,0.014365,-0.018011,-0.032376,0.032376
ambiguity,împăratul-muștelor-william-golding,Împăratul muștelor,William Golding,0.011551,-0.020586,-0.032137,0.032137
ambiguity,epidemia-robin-cook,Epidemia,Robin Cook,0.009712,-0.022168,-0.03188,0.03188
ambiguity,circe-madeline-miller,Circe,Madeline Miller,0.020908,-0.01041,-0.031318,0.031318
culture,împăratul-muștelor-william-golding,Împăratul muștelor,William Golding,0.013198,-0.013509,-0.026707,0.026707
culture,taxi-khaled-al-khamissi,Taxi,Khaled Al Khamissi,0.00731,-0.017891,-0.025201,0.025201
culture,ghidul-autostopistului-galactic-douglas-adams,Ghidul autostopistului galactic,Douglas Adams,-0.001472,-0.025689,-0.024217,0.024217
culture,război-cu-salamandrele-karel-čapek,Război cu salamandrele,Karel Čapek,0.01387,-0.010339,-0.024209,0.024209
culture,free-food-for-millionaires-min-jin-lee,Free Food for Millionaires,Min Jin Lee,0.010351,-0.01356,-0.023911,0.023911
culture,zeii-înșiși-isaac-asimov,Zeii înșiși,Isaac Asimov,0.002173,-0.021683,-0.023856000000000002,0.023856000000000002
culture,klara-și-soarele-kazuo-ishiguro,Klara și Soarele,Kazuo Ishiguro,0.010821,-0.012729,-0.02355,0.02355
culture,20000-de-leghe-sub-mări-jules-verne,20.000 de leghe sub mări,Jules Verne,0.009419,-0.01292,-0.022338999999999998,0.022338999999999998
culture,solaris-stanisław-lem,Solaris,Stanisław Lem,-0.000547,-0.022117,-0.021570000000000002,0.021570000000000002
culture,zei-mici-terry-pratchett,Zei mici,Terry Pratchett,0.003765,-0.017666,-0.021431000000000002,0.021431000000000002
